MSOA_code,Households
E02005279,3946
E02005280,3762
E02005281,3377
E02005282,3003
E02005283,2198
E02005284,2341
E02005285,2589
E02005286,3060
E02005287,2172
E02005288,2504
E02005289,2584
E02005290,2812
E02005291,2331
E02005292,2663
E02005293,2269
E02005294,2171
E02005295,2936
E02005296,2249
E02005297,3202
E02005298,2675
E02005299,2612
E02005300,2016
E02005301,2732
E02005302,2216
E02005303,2586
E02005304,3223
E02005305,2787
E02005306,2760
E02005307,3386
E02005308,2694
E02005309,3513
E02005310,2905
E02005311,2234
E02005312,2437
E02005313,3537
E02005314,2783
E02005315,3254
E02005316,2180
E02005317,2977
E02005318,2923
E02005319,4126
E02005320,2319
E02005321,2634
E02005322,4190
E02005323,2820
E02005324,2088
E02005325,3656
E02005326,3966
E02005327,2152
E02005328,3268
E02005329,3671
E02005330,3473
E02005331,3397
E02005332,3538
E02001509,2386
E02001510,2415
E02001511,2324
E02001512,3238
E02001513,3216
E02001514,2416
E02001515,3954
E02001516,2339
E02001517,3180
E02001518,3853
E02001519,2418
E02001520,4458
E02001521,4876
E02001522,3733
E02001523,2459
E02001524,2364
E02001525,2833
E02001526,2228
E02001527,2367
E02001528,4280
E02001529,4081
E02001530,2558
E02001531,2753
E02001532,3551
E02001533,2812
E02001534,3019
E02001535,2318
E02001536,3398
E02001537,3037
E02001538,3300
E02001539,2318
E02001540,4428
E02001541,4441
E02001542,2964
E02001543,3489
E02001544,3388
E02001545,3522
E02001546,2682
E02001547,4041
E02001548,3092
E02001549,2431
E02001550,2989
E02001551,2595
E02001552,2329
E02001553,4026
E02001554,2642
E02001555,2444
E02001556,3687
E02001557,3796
E02001558,2610
E02001559,3047
E02001560,4010
E02001561,2760
E02001562,2562
E02001563,3042
E02001564,2960
E02001565,2420
E02001566,2434
E02001567,3517
E02001568,2567
E02001569,3719
E02001570,2770
E02001571,2456
E02001572,3127
E02001573,3080
E02001574,2388
E02001575,2879
E02001576,2146
E02001577,2904
E02001578,3180
E02001579,3853
E02001580,3642
E02001581,2417
E02001582,2980
E02001583,2256
E02001584,2811
E02001585,2565
E02001586,3933
E02001587,2634
E02001588,3004
E02001589,2454
E02001590,2925
E02001591,3201
E02001592,3674
E02001593,2726
E02001594,2674
E02001595,3578
E02001596,3621
E02001597,3960
E02001598,3980
E02001599,2416
E02001600,3877
E02001601,2153
E02001602,3740
E02001603,2594
E02001604,2900
E02001605,2498
E02001606,3280
E02001607,3652
E02001608,2401
E02001609,3495
E02001610,3203
E02001611,3314
E02001612,2493
E02001613,4505
E02001614,4319
E02001615,3048
E02001616,3039
E02001617,2343
E02001618,3024
E02001619,4251
E02001620,2558
E02001621,2594
E02001622,4071
E02001623,3186
E02001624,3630
E02001625,3172
E02001626,2427
E02001627,2667
E02001628,2222
E02001629,2777
E02001630,2803
E02001631,3269
E02001632,3733
E02001633,3139
E02001634,4231
E02001635,2925
E02001636,3816
E02001637,2209
E02001638,2279
E02001639,2749
E02001640,2804
E02001641,2499
E02001642,3878
E02001643,2685
E02001644,2677
E02001645,3082
E02001646,2638
E02001647,2679
E02001648,2525
E02001649,4027
E02001650,2723
E02001651,3054
E02001652,2707
E02001653,2548
E02001654,2422
E02001655,3385
E02001656,2999
E02001657,3681
E02001658,2586
E02001659,2966
E02001660,3786
E02001661,3513
E02001662,3330
E02001663,3085
E02001664,2529
E02001665,3631
E02001666,2510
E02001667,2589
E02001668,2731
E02001669,3282
E02001670,2863
E02001671,2531
E02001672,2688
E02001673,2147
E02001674,3860
E02001675,3949
E02001676,2478
E02001677,3258
E02001678,4064
E02001679,3029
E02001680,3103
E02001681,3311
E02002183,2329
E02002184,5187
E02002185,2260
E02002186,5106
E02002187,2301
E02002188,2537
E02002189,2140
E02002190,3883
E02002191,3448
E02002192,3244
E02002193,2711
E02002194,2896
E02002195,2556
E02002196,2373
E02002197,3299
E02002198,3532
E02002199,2417
E02002200,3888
E02002201,4471
E02002202,2691
E02002203,3162
E02002204,4479
E02002205,4008
E02002206,3145
E02002207,2122
E02002208,3027
E02002209,2324
E02002210,2796
E02002211,2004
E02002212,2202
E02002213,2496
E02002214,2292
E02002215,2422
E02002216,2476
E02002217,2778
E02002218,3479
E02002219,2003
E02002220,2512
E02002221,3342
E02002222,2774
E02002223,2021
E02002224,2486
E02002225,2996
E02002226,2895
E02002227,2328
E02002228,2428
E02002229,2917
E02002230,2539
E02002231,3691
E02002232,2500
E02002233,2523
E02002234,3015
E02002235,2178
E02002236,2447
E02002237,2930
E02002238,2467
E02002239,3159
E02002240,4126
E02002241,4498
E02002242,3217
E02002243,3783
E02002244,2401
E02002245,2366
E02002246,3839
E02002247,3939
E02002248,3073
